agent_id,empresa,tecnologia,capacidad_mw
1,Iberdrola,eolica,14163.774193548386
1,Iberdrola,hidraulica,8276.0
1,Iberdrola,nuclear,3500.0
1,Iberdrola,solar_pv,5826.79456289494
1,Iberdrola,ciclo_combinado,3900.0
2,Endesa,nuclear,3617.0
2,Endesa,hidraulica,5449.0
2,Endesa,solar_pv,4370.0959221712055
2,Endesa,eolica,2292.448312557008
2,Endesa,ciclo_combinado,7869.0
3,Naturgy,ciclo_combinado,9500.0
3,Naturgy,eolica,3515.0874125874125
3,Naturgy,hidraulica,1500.0
3,Naturgy,solar_pv,2913.39728144747
4,Repsol,ciclo_combinado,1600.0
4,Repsol,solar_pv,5244.115106605446
5,Acciona,eolica,6373.698387096774
5,Acciona,solar_pv,1774.2589444015093
6,EDP,hidraulica,1800.0
6,EDP,ciclo_combinado,1200.0
6,EDP,eolica,1416.3774193548388
7,Engie,ciclo_combinado,1200.0
7,Engie,solar_pv,437.0095922171205
7,Engie,eolica,152.82988750380053
7,Engie,hidraulica,72.0
8,Solaria,solar_pv,2415.206346319953
9,Statkraft,eolica,1528.2988750380055
9,Statkraft,solar_pv,582.679456289494
10,TotalEnergies,ciclo_combinado,981.0
10,TotalEnergies,solar_pv,173.34713824612447
5,Acciona,solar_termica,921.6
2,Endesa,solar_termica,576.0
1,Iberdrola,solar_termica,460.8
3,Naturgy,solar_termica,345.6
1,Iberdrola,bombeo,1499.0
2,Endesa,bombeo,1332.0
3,Naturgy,bombeo,500.0
1,Iberdrola,bateria,10.0
2,Endesa,bateria,15.0
2,Endesa,hidroeolica,11.0
5,Acciona,biomasa,548.5
2,Endesa,biomasa,329.1
1,Iberdrola,biomasa,219.4
2,Endesa,carbon,1300.0
6,EDP,carbon,700.0
1,Iberdrola,hidrogeno_verde,25.0
1,Iberdrola,import_gas,40000
2,Endesa,import_gas,40000
3,Naturgy,import_gas,40000
4,Repsol,import_gas,40000
6,EDP,import_gas,40000
7,Engie,import_gas,40000
10,TotalEnergies,import_gas,40000
101,H2_Electrica_Synth,hidrogeno_electrico,25.0
102,Importista_Otros,import_gasolina,90650.41
102,Importista_Otros,import_diesel,26601.37
102,Importista_Otros,import_fueloleo,24568.26
102,Importista_Otros,import_metanol,378.77
103,Fleet_Road,coche_gasolina,30966.66
103,Fleet_Road,coche_diesel,32920.00
103,Fleet_Road,coche_electrico,86.76
104,Fleet_Road,camion_gasolina,527.79
104,Fleet_Road,camion_diesel,30472.05
104,Fleet_Road,camion_electrico,2.28
104,Fleet_Road,camion_gas,382.74
104,Fleet_Road,import_gasolina,9065.41
104,Fleet_Road,import_diesel,50601.37
105,Fleet_Maritime,barco_fueloleo,12614.28
105,Fleet_Maritime,barco_diesel,4374.57
105,Fleet_Maritime,barco_gas,254.58
105,Fleet_Maritime,import_fueloleo,24568.26
105,Fleet_Maritime,import_diesel,26601.37
105,Fleet_Maritime,import_gas,40000
107,Industria_Amoniaco_Synth,prod_nh3_h2_verde,21.34
107,Industria_Amoniaco_Synth,prod_nh3_h2_gris,2068.00
107,Industria_Amoniaco_Synth,import_h2,40000
106,Importista_Electricidad,import_electricidad,5000
108,Industria_Siderurgica_Synth,siderurgia_coque,4018.71
108,Industria_Siderurgica_Synth,siderurgia_electricidad,920.06
108,Industria_Siderurgica_Synth,import_carbon,16301
109,Industria_Cemento_Synth,cemento_carbon,5590.36
109,Industria_Cemento_Synth,import_carbon,16301
102,Importista_Otros,import_h2,40000
102,Importista_Otros,import_carbon,16301
200,SBPFSXBOLA,solar_pv,8306.095649406736
200,SBPFSXBOLA,eolica,2564.485512313773
