tecnologia,delay
solar_pv,6
eolica,9
hidrogeno_verde,24
ciclo_combinado,36
nuclear,72
hidraulica,48
carbon,36
bateria,6
solar_termica,36
hidroeolica,12
bombeo,36
almacen_h2,18
import_gasolina,0
import_diesel,0
import_electricidad,0
import_gas,0
import_fueloleo,0
import_h2,0
import_metanol,0
biomasa,24
hidrogeno_gris,24
hidrogeno_electrico,24
coche_gasolina,1
coche_diesel,1
coche_electrico,1
coche_hidrogeno,1
camion_gasolina,1
camion_diesel,1
camion_electrico,1
camion_hidrogeno,1
camion_gas,1
barco_fueloleo,24
barco_diesel,24
barco_gas,24
barco_hidrogeno,36
barco_metanol,24
barco_amoniaco,24
prod_nh3_h2_verde,30
prod_nh3_h2_elect,30
prod_nh3_h2_gris,30
prod_ch4_h2_verde,30
prod_ch4_h2_elect,30
prod_ch3oh_h2_verde,36
prod_ch3oh_h2_elect,36
prod_ch3oh_h2_gris,36
siderurgia_h2,48
siderurgia_coque,48
siderurgia_electricidad,24
siderurgia_gas,36
cemento_h2,36
cemento_carbon,36
cemento_electricidad,24
cemento_gas,36
import_h2,0
import_carbon,0
