anio,electricidad,transporte_carretera_ligero,transporte_carretera_pesado,transporte_mar,industria_cemento,industria_siderurgica,amoniaco,metanol
2024,238860000.0,198570000.0,98570000.0,70710000.0,15430000.0,14860000.0,7600000.0,2170000.0
2025,258720000.0,190000000.0,97140000.0,71430000.0,14860000.0,14710000.0,8000000.0,2640000.0
2026,278570000.0,181490000.0,95710000.0,72140000.0,14290000.0,14570000.0,8400000.0,3110000.0
2027,298430000.0,172990000.0,94290000.0,72860000.0,13710000.0,14430000.0,8800000.0,3590000.0
2028,318290000.0,164490000.0,92860000.0,73570000.0,13140000.0,14290000.0,9200000.0,4056000.0
2029,338140000.0,155990000.0,91430000.0,74290000.0,12570000.0,14140000.0,9600000.0,4530000.0
2030,358000000.0,155000000.0,90000000.0,75000000.0,12000000.0,14000000.0,10000000.0,5000000.0
2031,362600000.0,150500000.0,87500000.0,74250000.0,11850000.0,13950000.0,11000000.0,6000000.0
2032,367200000.0,146000000.0,85000000.0,73500000.0,11700000.0,13900000.0,12000000.0,7000000.0
2033,371800000.0,141500000.0,82500000.0,72750000.0,11550000.0,13850000.0,13000000.0,8000000.0
2034,376400000.0,137000000.0,80000000.0,72000000.0,11400000.0,13800000.0,14000000.0,9000000.0
2035,381000000.0,132500000.0,77500000.0,71250000.0,11250000.0,13750000.0,15000000.0,10000000.0
2036,385600000.0,128000000.0,75000000.0,70500000.0,11100000.0,13700000.0,16000000.0,11000000.0
2037,390200000.0,123500000.0,72500000.0,69750000.0,10950000.0,13650000.0,17000000.0,12000000.0
2038,394800000.0,119000000.0,70000000.0,69000000.0,10800000.0,13600000.0,18000000.0,13000000.0
2039,399400000.0,114500000.0,67500000.0,68250000.0,10650000.0,13550000.0,19000000.0,14000000.0
2040,404000000.0,110000000.0,65000000.0,67500000.0,10500000.0,13500000.0,20000000.0,15000000.0
2041,408600000.0,105500000.0,62500000.0,66750000.0,10350000.0,13450000.0,21000000.0,16000000.0
2042,413200000.0,101000000.0,60000000.0,66000000.0,10200000.0,13400000.0,22000000.0,17000000.0
2043,417800000.0,96500000.0,57500000.0,65250000.0,10050000.0,13350000.0,23000000.0,18000000.0
2044,422400000.0,92000000.0,55000000.0,64500000.0,9900000.0,13300000.0,24000000.0,19000000.0
2045,427000000.0,87500000.0,52500000.0,63750000.0,9750000.0,13250000.0,25000000.0,20000000.0
2046,431600000.0,83000000.0,50000000.0,63000000.0,9600000.0,13200000.0,26000000.0,21000000.0
2047,436200000.0,78500000.0,47500000.0,62250000.0,9450000.0,13150000.0,27000000.0,22000000.0
2048,440800000.0,74000000.0,45000000.0,61500000.0,9300000.0,13100000.0,28000000.0,23000000.0
2049,445400000.0,69500000.0,42500000.0,60750000.0,9150000.0,13050000.0,29000000.0,24000000.0
2050,450000000.0,65000000.0,40000000.0,60000000.0,9000000.0,13000000.0,30000000.0,25000000.0
