anio,electricidad,transporte_carretera_ligero,transporte_carretera_pesado,transporte_mar,industria_cemento,industria_siderurgica,amoniaco,metanol
2024,238860000,55158377,27380577,19641682,4286115,4127781,2111113,602778
2025,248210000,54533377,27075022,19841683,4219448,4086114,2222224,733334
2026,257570000,53905599,26769466,20038905,4152781,4047225,2333335,863890
2027,266930000,53280598,26463910,20238905,4086114,4008337,2444446,997223
2028,276290000,52655598,26158354,20436127,4022225,3969448,2555558,1127779
2029,285640000,52030598,25852800,20636128,3955558,3927779,2666669,1252223
2030,295000000,51402720,25547244,20833350,3888889,3888889,2777780,1388890
2031,298250000,50677719,25241689,20694465,3861113,3875009,3055558,1666670
2032,301500000,50052718,24936133,20319459,3833334,3861111,3333336,1944446
2033,304750000,49427718,24630577,20158344,3805556,3847223,3611114,2222224
2034,308000000,48802717,24325022,19997228,3777778,3833334,3888892,2500002
2035,311250000,48177717,24019466,19836112,3750000,3819445,4166670,2777780
2036,314500000,47552716,23713910,19674997,3722222,3805557,4444448,3055558
2037,317750000,46927716,23408354,19513881,3694444,3791668,4722226,3333336
2038,321000000,46302715,23102800,19352765,3666667,3777779,5000004,3611114
2039,324250000,45677714,22797244,19191649,3638889,3763891,5277782,3888892
2040,327500000,45052714,22491688,19030534,3611111,3750002,5555560,4166670
2041,330750000,44427713,22186133,18869418,3583333,3736114,5833338,4444448
2042,334000000,43802712,21880577,18708302,3555556,3722225,6111116,4722226
2043,337250000,43177712,21575021,18547186,3527778,3708337,6388894,5000004
2044,340500000,42552711,21269466,18386071,3500000,3694448,6666672,5277782
2045,343750000,41927711,20963910,18224955,3472222,3680559,6944450,5555560
2046,347000000,41299933,20658354,18063839,3444444,3666669,7222228,5833338
2047,350250000,40674932,20352800,17902723,3416667,3652781,7500006,6111116
2048,353500000,40049932,20047244,17741608,3388889,3638889,7777784,6388894
2049,356750000,39424932,19741688,17580492,3361111,3625001,8055562,6666672
2050,360000000,38800000,19436088,17419376,3333336,3611111,8333340,6944450
