anio,precio_co2,subv_max_anual
2024,75.0,1400000000.0
2025,80.0,1200000000.0
2026,85.0,1100000000.0
2027,90.0,1000000000.0
2028,95.0,900000000.0
2029,100.0,800000000.0
2030,105.0,700000000.0
2031,110.0,650000000.0
2032,115.0,600000000.0
2033,120.0,550000000.0
2034,130.0,500000000.0
2035,140.0,450000000.0
2036,150.0,400000000.0
2037,160.0,350000000.0
2038,170.0,300000000.0
2039,180.0,275000000.0
2040,190.0,250000000.0
2041,230.0,240000000.0
2042,270.0,230000000.0
2043,310.0,220000000.0
2043,310.0,220000000.0
2044,330.0,210000000.0
2045,340.0,200000000.0
2046,345.0,180000000.0
2047,348.0,160000000.0
2048,350.0,140000000.0
2049,350.0,120000000.0
2050,350.0,100000000.0
